Character,S1Eps,S1Lines,S1E1,S1E2,S1E3,S1E4,S1E5,S1E6,S2Eps,S2Lines,S2E1,S2E2,S2E3,S2E4,S2E5,S2E6,S2E7,S2E8,S2E9,S2E10,S2E11,S2E12,S2E13,S2E14,S2E15,S2E16,S2E17,S2E18,S2E19,S2E20,S2E21,S2E22,S2E23,S2E24,S3Eps,S3Lines,S3E1,S3E2,S3E3,S3E4,S3E5,S3E6,S3E7,S3E8,S3E9,S3E10,S3E11,S3E12,S3E13,S3E14,S3E15,S3E16,S4Eps,S4Lines,S4E1,S4E2,S4E3,S4E4,S4E5,S4E6,S4E7,S4E8,S4E9,S4E10,S4E11,S4E12,S4E13,S4E14,S4E15,S4E16,S4E17,S4E18,S4E19,S4E20,S4E21,S4E22,S5Eps,S5Lines,S5E1,S5E2,S5E3,S5E4,S5E5,S5E6,S5E7,S5E8,S5E9,S5E10,S5E11,S5E12,S5E13,S5E14,S5E15,S5E16,S5E17,S5E18,S5E19,S5E20,S5E21,S5E22,S6Eps,S6Lines,S6E1,S6E2,S6E3,S6E4,S6E5,S6E6,S6E7,S6E8,S6E9,S6E10,S6E11,S6E12,S6E13,S6E14,S6E15,S6E16,S6E17,S6E18,S6E19,S6E20,S7Eps,S7Lines,S7E1,S7E2,S7E3,S7E4,S7E5,S7E6,S7E7,S7E8,S7E9,S7E10,S7E11,S7E12,TotalEps,TotalLines,Top1Line,Top1LineCount,Top2Line,Top2LineCount,Top3Line,Top3LineCount,Top1Word,Top1WordCount,Top2Word,Top2WordCount,Top3Word,Top3WordCount,Top4Word,Top4WordCount,Top5Word,Top5WordCount,Top6Word,Top6WordCount,Top7Word,Top7WordCount,Top8Word,Top8WordCount,Top9Word,Top9WordCount,Top10Word,Top10WordCount
Leslie Knope,6,1330,221,251,249,249,224,136,24,4411,233,221,134,186,213,236,169,190,183,175,162,151,176,212,109,123,141,200,188,184,169,305,165,186,16,2237,166,118,163,100,99,118,193,140,120,180,149,162,140,107,136,146,22,2977,140,103,144,127,124,142,147,136,203,165,163,128,172,167,86,154,114,138,96,89,123,116,22,2645,152,105,148,118,136,133,117,119,108,72,101,120,160,135,129,98,95,103,149,121,107,119,20,2722,205,133,165,85,107,130,147,119,97,135,113,142,147,170,142,153,136,117,116,163,12,1765,157,108,145,272,85,107,102,192,117,43,136,301,122,18087,oh my god,106,thank you,76,I don't know,40,what,916,no,889,okay,841,oh,719,like,563,yeah,434,right,392,ron,368,good,368,pawnee,353
Tom Haverford,6,350,73,62,41,67,74,33,24,1456,36,92,63,93,39,10,49,26,79,49,97,35,65,51,107,45,99,45,37,121,53,63,55,47,16,962,63,48,42,49,54,61,62,53,44,123,55,27,78,69,50,84,22,1000,54,50,70,68,96,77,57,47,8,18,25,34,46,34,55,78,9,49,33,44,29,19,22,1044,60,27,53,111,29,54,43,65,39,47,44,21,39,41,26,61,39,26,22,71,59,67,19,979,68,36,30,74,51,61,50,33,62,54,21,30,24,55,47,47,63,45,0,128,9,496,57,62,33,3,53,84,41,0,0,0,68,95,118,6287,all right,18,oh my god,15,ugh,12,what,311,no,263,like,230,right,137,now,133,oh,130,yeah,129,go,123,hey,122,ron,111
Andy Dwyer,6,188,10,17,25,40,8,88,22,1188,30,49,46,0,0,94,52,51,51,55,72,43,36,61,37,44,49,58,56,40,39,25,110,90,16,789,80,63,58,17,77,45,43,49,91,29,75,19,37,43,43,20,22,946,45,16,29,13,94,85,37,74,17,24,34,64,18,34,59,59,12,60,18,59,47,48,22,857,66,45,27,10,33,26,48,69,28,71,15,31,33,58,44,10,25,15,24,22,74,83,14,761,92,0,0,0,42,0,0,0,13,39,49,22,17,17,60,72,72,84,73,109,12,646,71,66,48,3,36,48,13,75,30,185,12,59,114,5375,oh my god,21,all right,20,thank you,19,what,255,oh,234,like,214,no,198,yeah,175,but,175,right,138,hey,133,good,132,really,123
Ben Wyatt,0,0,0,0,0,0,0,0,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,52,16,923,51,63,13,57,73,50,71,48,53,35,125,20,46,77,79,62,22,1206,48,54,36,51,48,33,74,60,30,63,66,70,60,63,98,13,51,50,55,57,52,74,22,1093,44,100,68,36,48,89,63,68,24,53,28,38,33,85,65,12,74,37,47,42,12,27,20,1204,67,50,34,45,38,53,27,72,49,83,88,32,90,35,57,68,40,79,85,112,12,611,44,38,61,9,46,17,78,56,67,32,68,95,94,5148,all right,35,thank you,25,oh my god,21,okay,350,no,304,what,263,oh,246,yeah,231,so,221,like,184,right,167,leslie,160,hey,157
Ron Swanson,6,168,31,34,22,49,23,9,23,1102,17,39,0,50,13,14,23,121,52,94,42,40,34,30,58,16,89,38,44,63,81,39,48,57,16,697,49,54,10,88,44,51,31,47,37,46,25,48,42,52,27,46,22,837,62,93,25,57,47,40,43,32,28,31,21,34,24,46,22,48,47,30,50,11,14,32,22,785,64,29,53,37,57,25,15,10,62,22,50,18,48,33,26,33,50,35,29,31,44,14,20,789,88,60,27,40,32,33,41,36,17,50,15,25,37,61,24,34,56,28,37,48,12,617,25,56,39,163,31,34,39,46,55,18,40,71,121,4995,thank you,16,you know what,7,ron swanson,6,no,244,what,210,like,175,leslie,136,here,121,go,117,good,116,out,112,well,98,right,95
Ann Perkins,6,357,70,46,48,52,66,75,23,1128,52,37,48,87,5,77,81,22,36,67,21,28,122,35,45,35,0,29,45,33,21,63,93,46,16,631,45,77,14,19,26,43,33,41,47,49,13,32,85,46,9,52,22,728,51,21,56,17,21,17,29,31,13,26,60,16,20,39,34,45,45,37,41,30,22,57,21,879,43,30,0,54,42,41,20,21,27,48,55,76,20,28,65,70,32,35,54,38,53,27,10,481,31,55,45,0,25,49,0,0,38,34,77,93,0,0,0,34,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,12,99,4216,oh my god,35,thank you,16,oh god,14,no,242,what,233,oh,203,okay,203,so,199,yeah,157,like,149,leslie,142,right,122,really,116
April Ludgate,6,46,12,10,6,11,1,6,23,634,19,26,36,10,18,0,10,3,31,39,8,36,20,21,20,23,37,53,27,43,60,23,38,33,16,452,14,26,14,24,33,53,30,39,41,13,51,19,35,35,11,14,22,588,31,19,19,8,40,42,25,29,14,13,29,27,38,37,16,44,18,26,60,15,15,23,22,668,15,37,44,22,15,28,58,36,32,28,44,48,8,32,27,41,27,52,15,16,19,24,20,710,76,43,49,29,47,24,46,21,35,18,21,34,40,25,27,23,28,25,50,49,12,529,59,52,36,11,53,15,31,98,43,24,33,74,121,3627,oh my god,30,thank you,16,I know,16,no,183,like,180,so,168,what,163,okay,148,know,127,yeah,120,andy,94,really,86,god,79
Chris Traeger,0,0,0,0,0,0,0,0,2,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,15,658,65,46,32,52,30,59,0,41,10,78,65,5,39,34,61,41,22,833,28,61,32,40,28,28,47,26,77,28,41,42,48,24,7,45,31,44,61,36,35,24,22,735,32,48,28,11,18,38,22,19,48,67,42,20,26,26,28,44,33,44,42,43,30,26,12,460,48,28,32,29,19,23,55,61,31,43,43,48,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,16,74,2833,ann perkins,32,thank you,13,leslie knope,8,no,123,what,103,like,101,just,96,oh,87,ann,86,know,83,leslie,81,think,78,ron,67
Donna Meagle,1,6,0,0,0,6,0,0,17,136,4,0,0,10,4,0,0,12,23,14,8,3,4,0,13,0,13,3,4,4,0,7,3,7,16,148,4,3,9,5,10,2,17,9,38,4,5,3,22,2,9,6,19,182,7,0,1,44,3,4,9,0,12,6,0,8,9,3,2,19,5,15,5,1,19,10,22,197,25,5,9,5,17,4,3,4,17,7,1,3,4,13,14,3,7,3,24,16,1,12,20,395,14,18,23,31,28,22,41,29,5,12,16,6,28,3,18,27,13,16,37,8,12,263,9,6,15,4,18,40,49,6,35,12,21,48,107,1327,oh my god,8,all right,8,I know,4,on,69,what,50,all,48,right,48,now,48,like,43,just,40,oh,38,so,38,up,32
Jerry Gergich,2,25,0,0,17,8,0,0,22,215,3,0,0,13,3,2,3,2,7,31,8,1,8,1,12,3,7,4,60,8,1,20,7,11,15,139,4,9,4,6,4,2,28,13,5,5,18,0,6,2,16,17,21,243,10,1,15,22,12,12,8,19,5,10,4,8,29,8,3,35,4,13,2,0,5,18,20,275,15,2,14,2,19,1,7,7,11,25,12,0,7,26,8,10,3,6,8,90,0,2,18,280,29,0,16,0,6,11,9,3,17,12,18,15,25,8,21,35,2,6,30,17,11,148,12,2,28,3,0,3,8,5,30,10,18,29,109,1325,thank you,9,oh my god,8,aw geez,7,oh,104,no,72,okay,70,well,66,what,66,leslie,63,really ,44,yeah,41,here,35,sorry,33
